EmployeeID,Name,Age,Department,Salary,YearsExp,Rating
1001,Employee_0,50.0,HR,72725.72,7,1
1002,Employee_1,36.0,Sales,122790.97,17,2
1003,Employee_2,29.0,Finance,73563.36,4,1
1004,Employee_3,42.0,Marketing,82033.48,8,4
1005,Employee_4,40.0,Marketing,79310.03,3,4
1006,Employee_5,44.0,Engineering,74770.87,16,5
1007,Employee_6,32.0,Sales,60270.96,8,2
1008,Employee_7,32.0,Sales,76384.54,0,5
1009,Employee_8,45.0,Engineering,53407.62,19,2
1010,Employee_9,,Engineering,61447.72,12,5
1011,Employee_10,45.0,Engineering,57719.55,15,3
1012,Employee_11,,Finance,66228.11,12,3
1013,Employee_12,43.0,Sales,99719.88,13,3
1014,Employee_13,23.0,Finance,,2,3
1015,Employee_14,45.0,Engineering,75293.9,5,1
1016,Employee_15,51.0,Sales,40809.26,17,3
1017,Employee_16,59.0,Finance,57921.02,18,4
1018,Employee_17,23.0,Finance,81334.26,4,4
1019,Employee_18,42.0,Engineering,65964.2,14,1
1020,Employee_19,54.0,Sales,48833.83,1,3
1021,Employee_20,,Engineering,54270.44,9,3
1022,Employee_21,43.0,Sales,75193.97,17,3
1023,Employee_22,46.0,Marketing,54044.5,12,5
1024,Employee_23,48.0,HR,68246.88,4,2
1025,Employee_24,49.0,HR,65683.58,0,5
1026,Employee_25,37.0,HR,55225.99,0,2
1027,Employee_26,36.0,Engineering,97159.16,17,3
1028,Employee_27,24.0,Marketing,74508.79,14,3
1029,Employee_28,58.0,Sales,34622.86,16,5
1030,Employee_29,28.0,Finance,67796.81,10,5
1031,Employee_30,42.0,Sales,,16,2
1032,Employee_31,30.0,Finance,77786.5,12,4
1033,Employee_32,39.0,Sales,53112.19,0,2
1034,Employee_33,25.0,Marketing,63278.95,1,5
1035,Employee_34,46.0,Finance,72574.81,8,5
1036,Employee_35,35.0,Engineering,77986.33,2,1
1037,Employee_36,30.0,Sales,46995.55,0,5
1038,Employee_37,47.0,Sales,59982.48,15,1
1039,Employee_38,23.0,Finance,57875.82,5,4
1040,Employee_39,,Engineering,55200.06,16,2
1041,Employee_40,49.0,Engineering,91481.81,4,2
1042,Employee_41,28.0,Marketing,71074.73,4,1
1043,Employee_42,29.0,Engineering,46086.74,5,2
1044,Employee_43,56.0,Engineering,78767.93,2,5
1045,Employee_44,35.0,Engineering,96832.34,4,3
1046,Employee_45,38.0,HR,80486.98,4,1
1047,Employee_46,57.0,Marketing,42209.45,9,2
1048,Employee_47,25.0,Sales,57736.49,9,1
1049,Employee_48,23.0,Finance,84003.67,18,1
1050,Employee_49,27.0,Sales,54384.96,16,3
1051,Employee_50,25.0,Marketing,71657.29,13,5
1052,Employee_51,50.0,Finance,76619.51,8,1
1053,Employee_52,39.0,Marketing,51096.04,13,2
1054,Employee_53,47.0,Engineering,64107.12,0,4
1055,Employee_54,55.0,Finance,16380.99,18,1
1056,Employee_55,31.0,Engineering,49634.19,12,1
1057,Employee_56,,Sales,61211.48,12,3
1058,Employee_57,35.0,Sales,46283.25,3,5
1059,Employee_58,52.0,Finance,89486.17,0,4
1060,Employee_59,,Finance,43547.88,16,2
1061,Employee_60,29.0,Marketing,58399.33,7,4
1062,Employee_61,35.0,Marketing,66961.11,1,2
1063,Employee_62,44.0,Engineering,,7,5
1064,Employee_63,42.0,Finance,43462.07,6,2
1065,Employee_64,37.0,Sales,,1,3
1066,Employee_65,39.0,Marketing,65153.5,2,3
1067,Employee_66,45.0,Marketing,50277.37,17,3
1068,Employee_67,47.0,Sales,71931.55,11,3
1069,Employee_68,46.0,Marketing,67985.9,0,4
1070,Employee_69,50.0,Engineering,55996.75,11,5
1071,Employee_70,36.0,Finance,66047.03,4,2
1072,Employee_71,22.0,Sales,59220.3,16,2
1073,Employee_72,46.0,Finance,66702.76,15,3
1074,Employee_73,28.0,Marketing,74931.96,14,3
1075,Employee_74,30.0,Marketing,88790.25,14,1
1076,Employee_75,45.0,Sales,46432.77,4,5
1077,Employee_76,22.0,Engineering,,13,4
1078,Employee_77,29.0,HR,35718.68,1,2
1079,Employee_78,45.0,Sales,,10,1
1080,Employee_79,,HR,73824.76,18,1
1081,Employee_80,38.0,HR,69214.88,6,2
1082,Employee_81,29.0,Engineering,55659.51,5,4
1083,Employee_82,,HR,61878.17,1,1
1084,Employee_83,56.0,HR,57604.99,5,1
1085,Employee_84,54.0,Engineering,56159.53,17,5
1086,Employee_85,26.0,HR,77744.03,1,4
1087,Employee_86,49.0,HR,70355.23,17,1
1088,Employee_87,28.0,HR,54606.36,14,4
1089,Employee_88,30.0,Sales,78494.0,18,2
1090,Employee_89,29.0,Sales,69609.49,1,3
1091,Employee_90,33.0,Sales,77192.93,19,1
1092,Employee_91,55.0,Engineering,74444.43,5,5
1093,Employee_92,54.0,Marketing,,0,2
1094,Employee_93,44.0,HR,56597.28,14,4
1095,Employee_94,45.0,HR,76209.4,9,2
1096,Employee_95,58.0,Engineering,74155.55,18,1
1097,Employee_96,56.0,HR,64686.48,16,4
1098,Employee_97,43.0,Sales,66759.91,4,3
1099,Employee_98,48.0,Marketing,84164.97,3,2
1100,Employee_99,56.0,Finance,56126.43,9,1
1004,Employee_3,42.0,Marketing,82033.48,8,4
1008,Employee_7,32.0,Sales,76384.54,0,5
1016,Employee_15,51.0,Sales,40809.26,17,3
