EmployeeID,Name,Age,Department,Salary,YearsExp,Performance,Bonus
1001,Employee_0,58.0,Engineering,70662.64,18,High,3500
1002,Employee_1,27.0,Sales,52384.32,2,High,7500
1003,Employee_2,47.0,Finance,67681.76,7,Low,
1004,Employee_3,55.0,Marketing,73338.3,1,Medium,
1005,Employee_4,27.0,Sales,66971.32,7,Excellent,5000
1006,Employee_5,58.0,Sales,46516.7,12,Excellent,
1007,Employee_6,54.0,Marketing,95222.87,12,Excellent,3500
1008,Employee_7,43.0,Engineering,69403.19,0,Low,3500
1009,Employee_8,42.0,HR,55291.16,5,Low,
1010,Employee_9,27.0,Finance,93932.29,18,High,
1011,Employee_10,27.0,HR,,15,Excellent,5000
1012,Employee_11,25.0,Marketing,48797.28,7,Low,
1013,Employee_12,51.0,Sales,51288.08,0,High,5000
1014,Employee_13,32.0,Sales,64441.68,15,Excellent,5000
1015,Employee_14,51.0,Finance,,8,Medium,
1016,Employee_15,52.0,Sales,,12,High,2000
1017,Employee_16,45.0,Sales,,10,Low,2000
1018,Employee_17,30.0,Finance,,12,Low,5000
1019,Employee_18,24.0,Finance,,9,High,
1020,Employee_19,52.0,Marketing,70028.69,3,High,2000
1021,Employee_20,58.0,Sales,55845.77,5,Low,
1022,Employee_21,57.0,Sales,67946.39,6,Medium,
1023,Employee_22,45.0,Marketing,66896.31,4,Excellent,
1024,Employee_23,52.0,Engineering,26748.55,10,Medium,7500
1025,Employee_24,27.0,Engineering,59018.13,12,High,
1026,Employee_25,23.0,Engineering,73027.26,18,Medium,7500
1027,Employee_26,41.0,Marketing,61212.55,9,Low,5000
1028,Employee_27,49.0,Sales,,9,High,2000
1029,Employee_28,32.0,Marketing,82582.02,10,Excellent,2000
1030,Employee_29,25.0,Marketing,53335.27,6,Low,2000
1031,Employee_30,36.0,Engineering,79385.96,17,Low,2000
1032,Employee_31,27.0,HR,46676.09,3,Excellent,2000
1033,Employee_32,,Sales,112172.19,1,Excellent,2000
1034,Employee_33,59.0,Engineering,64549.03,13,Medium,2000
1035,Employee_34,23.0,HR,62827.76,12,High,5000
1036,Employee_35,36.0,HR,,11,Excellent,
1037,Employee_36,32.0,Finance,61300.72,6,Excellent,3500
1038,Employee_37,29.0,Sales,91278.84,1,High,7500
1039,Employee_38,47.0,HR,73945.5,12,Excellent,3500
1040,Employee_39,26.0,Engineering,66105.63,13,Excellent,3500
1041,Employee_40,27.0,Finance,64399.91,16,Medium,
1042,Employee_41,47.0,Sales,87321.47,8,Low,
1043,Employee_42,25.0,Marketing,71687.8,16,Low,
1044,Employee_43,40.0,Engineering,74916.94,7,Low,2000
1045,Employee_44,41.0,HR,76656.03,1,Low,5000
1046,Employee_45,54.0,HR,70126.98,12,Excellent,2000
1047,Employee_46,41.0,Engineering,76317.96,2,High,5000
1048,Employee_47,33.0,HR,66106.83,15,High,5000
1049,Employee_48,22.0,Finance,67203.06,5,Medium,3500
1050,Employee_49,47.0,Sales,,18,Medium,3500
1051,Employee_50,35.0,Finance,72764.16,6,Excellent,5000
1052,Employee_51,59.0,HR,40487.34,9,High,5000
1053,Employee_52,58.0,Marketing,72536.93,8,High,2000
1054,Employee_53,32.0,Sales,63510.14,1,Low,2000
1055,Employee_54,57.0,Sales,73993.36,14,Excellent,3500
1056,Employee_55,34.0,Engineering,,4,Excellent,
1057,Employee_56,24.0,Engineering,34090.28,3,Low,5000
1058,Employee_57,54.0,Marketing,,19,Excellent,2000
1059,Employee_58,27.0,Sales,51265.4,3,Excellent,3500
1060,Employee_59,31.0,Marketing,39511.09,17,Medium,2000
1061,Employee_60,26.0,Engineering,80287.73,3,High,5000
1062,Employee_61,44.0,Engineering,93619.81,16,Excellent,5000
1063,Employee_62,,Sales,55248.78,11,Medium,7500
1064,Employee_63,23.0,Finance,66787.67,16,High,
1065,Employee_64,34.0,HR,63075.43,9,Low,7500
1066,Employee_65,23.0,Engineering,57457.63,0,Medium,3500
1067,Employee_66,41.0,Engineering,78619.8,17,Medium,2000
1068,Employee_67,22.0,Finance,84162.26,17,High,3500
1069,Employee_68,58.0,Finance,54102.28,13,Low,5000
1070,Employee_69,30.0,Marketing,68716.27,14,Medium,7500
1071,Employee_70,38.0,Marketing,88552.53,11,Excellent,7500
1072,Employee_71,30.0,HR,79024.58,3,Excellent,7500
1073,Employee_72,32.0,HR,81403.16,2,Excellent,3500
1074,Employee_73,36.0,Sales,89887.76,19,Low,5000
1075,Employee_74,45.0,Marketing,,11,Medium,2000
1076,Employee_75,59.0,Engineering,84458.28,6,Excellent,2000
1077,Employee_76,56.0,Marketing,70319.0,10,Low,3500
1078,Employee_77,51.0,Engineering,61880.27,0,Excellent,7500
1079,Employee_78,52.0,Finance,69655.64,5,High,
1080,Employee_79,26.0,Marketing,59449.49,14,Medium,3500
1081,Employee_80,35.0,Finance,36760.21,14,Medium,3500
1082,Employee_81,32.0,HR,,18,Low,5000
1083,Employee_82,30.0,HR,73720.42,10,Low,2000
1084,Employee_83,55.0,Sales,,1,Medium,3500
1085,Employee_84,33.0,Marketing,64915.52,13,Excellent,3500
1086,Employee_85,56.0,Finance,65535.41,1,Excellent,7500
1087,Employee_86,56.0,Engineering,89709.71,3,High,7500
1088,Employee_87,22.0,HR,62249.0,16,Excellent,
1089,Employee_88,43.0,HR,89706.13,2,Low,5000
1090,Employee_89,,Engineering,,12,Low,
1091,Employee_90,29.0,Finance,89565.69,8,Excellent,7500
1092,Employee_91,32.0,Finance,,6,Low,2000
1093,Employee_92,58.0,Marketing,82436.07,14,Medium,7500
1094,Employee_93,35.0,Marketing,35809.31,10,Medium,5000
1095,Employee_94,51.0,Sales,84302.19,19,Excellent,7500
1096,Employee_95,56.0,HR,67198.09,1,Medium,5000
1097,Employee_96,42.0,Marketing,27530.6,14,Medium,5000
1098,Employee_97,58.0,Finance,,13,High,5000
1099,Employee_98,26.0,Engineering,91106.77,19,High,5000
1100,Employee_99,40.0,Finance,37527.81,10,Medium,5000
